target,window_size_s,feature_set,model,split_type,n_windows,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,normal_recall,anomaly_recall,f1_anomaly,folds,fold_mcc_mean,fold_mcc_std
binary,15.0,motion_pulse,hist_gradient_boosting,group_cv,458,144,0.962882096069869,0.9360393156170368,0.9693573667711599,0.9360393156170368,0.9510742181363462,0.9047834326217762,0.8780487804878049,0.9940298507462687,0.9751098096632503,5,0.9174098491543186,0.09013422199523599
binary,15.0,motion_pulse,knn,group_cv,458,144,0.8973799126637555,0.8758281761922097,0.8666193181818183,0.8758281761922097,0.8710361561273703,0.7423903816971342,0.8292682926829268,0.9223880597014925,0.9293233082706767,5,0.7628726872888495,0.1478273761007323
binary,15.0,motion_pulse,logistic_regression,group_cv,458,144,0.9366812227074236,0.9207013711928165,0.9185580451999227,0.9207013711928165,0.9196214060504833,0.8392566795430164,0.8861788617886179,0.9552238805970149,0.9566517189835575,5,0.8450871187872238,0.11608251299468134
binary,15.0,motion_pulse,random_forest,group_cv,458,144,0.9978165938864629,0.9959349593495934,0.9985119047619048,0.9959349593495934,0.997214027190608,0.994443525240893,0.991869918699187,1.0,0.9985096870342772,5,0.9938744479999919,0.012251104000016078
binary,15.0,motion_pulse,svm_rbf,group_cv,458,144,0.962882096069869,0.9489018323019052,0.9560404339250492,0.9489018323019052,0.9523905612728463,0.9049141094992619,0.9186991869918699,0.9791044776119403,0.974739970282318,5,0.9046706352765801,0.07552422960060341
binary,15.0,motion_pulse_thermal,dummy_most_frequent,group_cv,458,209,0.7314410480349345,0.5,0.36572052401746724,0.5,0.4224464060529634,0.0,0.0,1.0,0.8448928121059268,5,0.0,0.0
binary,15.0,motion_pulse_thermal,extra_trees,group_cv,458,209,0.9585152838427947,0.9227642276422765,0.9731638418079096,0.9227642276422765,0.9443616810419238,0.8945093540710978,0.8455284552845529,1.0,0.9724238026124818,5,0.8906071461667912,0.1408910462644351
binary,15.0,motion_pulse_thermal,hist_gradient_boosting,group_cv,458,209,0.962882096069869,0.9360393156170368,0.9693573667711599,0.9360393156170368,0.9510742181363462,0.9047834326217762,0.8780487804878049,0.9940298507462687,0.9751098096632503,5,0.9174098491543186,0.09013422199523599
binary,15.0,motion_pulse_thermal,knn,group_cv,458,209,0.8100436681222707,0.7698216235893702,0.7583658672615727,0.7698216235893702,0.763602384978197,0.5280632453962055,0.6829268292682927,0.8567164179104477,0.8683812405446294,5,0.5535963799989985,0.2737959276735232
binary,15.0,motion_pulse_thermal,logistic_regression,group_cv,458,209,0.9301310043668122,0.9136512559155443,0.9094774774774774,0.9136512559155443,0.9115317751593587,0.8231181514890497,0.8780487804878049,0.9492537313432836,0.9520958083832335,5,0.8279904709088026,0.15448069638314832
binary,15.0,motion_pulse_thermal,random_forest,group_cv,458,209,0.9978165938864629,0.9959349593495934,0.9985119047619048,0.9959349593495934,0.997214027190608,0.994443525240893,0.991869918699187,1.0,0.9985096870342772,5,0.9938744479999919,0.012251104000016078
binary,15.0,motion_pulse_thermal,svm_rbf,group_cv,458,209,0.9082969432314411,0.8627108360635846,0.8979417951380568,0.8627108360635846,0.8780834072759539,0.7598363013680466,0.7642276422764228,0.9611940298507463,0.9387755102040817,5,0.7703310559065578,0.14534089420178153
binary,15.0,pulse_only,dummy_most_frequent,group_cv,458,38,0.7314410480349345,0.5,0.36572052401746724,0.5,0.4224464060529634,0.0,0.0,1.0,0.8448928121059268,5,0.0,0.0
binary,15.0,pulse_only,extra_trees,group_cv,458,38,0.7729257641921398,0.736730979250091,0.7165501165501166,0.736730979250091,0.7245112781954888,0.4528316294060318,0.6585365853658537,0.8149253731343283,0.84,5,0.5062829856201635,0.23255526920840847
binary,15.0,pulse_only,hist_gradient_boosting,group_cv,458,38,0.777292576419214,0.7114185171702463,0.7159465556133958,0.7114185171702463,0.7135885425607573,0.427341084267854,0.5691056910569106,0.8537313432835821,0.8486646884272997,5,0.47207597920566907,0.26601130227969644
binary,15.0,pulse_only,knn,group_cv,458,38,0.7838427947598253,0.7622011891760709,0.7322841417268662,0.7622011891760709,0.7427769110764431,0.4935794897988663,0.7154471544715447,0.808955223880597,0.8455538221528861,5,0.5047267033537883,0.06696635900433612
binary,15.0,pulse_only,logistic_regression,group_cv,458,38,0.7161572052401747,0.7468025725033369,0.6957291606520777,0.7468025725033369,0.6921088013238184,0.43957461420264793,0.8130081300813008,0.6805970149253732,0.7781569965870307,5,0.4608871220872358,0.1828389782821414
binary,15.0,pulse_only,random_forest,group_cv,458,38,0.8056768558951966,0.7333940055818469,0.7544179894179894,0.7333940055818469,0.7423958037096723,0.4873587329364048,0.5772357723577236,0.8895522388059701,0.8700729927007299,5,0.523641750918823,0.19960259536893724
binary,15.0,pulse_only,svm_rbf,group_cv,458,38,0.7292576419213974,0.740322776362092,0.6947739029523416,0.740322776362092,0.6986330446595347,0.43270592841045014,0.7642276422764228,0.7164179104477612,0.7947019867549668,5,0.436106677707439,0.1463304446418583
binary,15.0,thermal_only,dummy_most_frequent,group_cv,458,65,0.7314410480349345,0.5,0.36572052401746724,0.5,0.4224464060529634,0.0,0.0,1.0,0.8448928121059268,5,0.0,0.0
binary,15.0,thermal_only,extra_trees,group_cv,458,65,0.6266375545851528,0.5132508190753549,0.5139228886168911,0.5132508190753549,0.5133200350478179,0.027165395492703002,0.2682926829268293,0.7582089552238805,0.748159057437408,5,0.02545609701634096,0.2518240527121256
binary,15.0,thermal_only,hist_gradient_boosting,group_cv,458,65,0.6441048034934498,0.5174736075718966,0.5201117318435754,0.5174736075718966,0.5169245303774452,0.03749263980174529,0.24390243902439024,0.7910447761194029,0.7647907647907648,5,0.025711427802118984,0.16915225064038875
binary,15.0,thermal_only,knn,group_cv,458,65,0.62882096069869,0.48901832301905107,0.4866696126086316,0.48901832301905107,0.48505291005291007,-0.024198347742184538,0.18699186991869918,0.7910447761194029,0.7571428571428571,5,-0.05018755875406607,0.18334683236222082
binary,15.0,thermal_only,logistic_regression,group_cv,458,65,0.7554585152838428,0.7556607207863124,0.7127107521453812,0.7556607207863124,0.7214656501813601,0.46639804550399555,0.7560975609756098,0.755223880597015,0.8187702265372169,5,0.4697562258452188,0.27322422307685046
binary,15.0,thermal_only,random_forest,group_cv,458,65,0.6462882096069869,0.5009586215265137,0.5012458602744047,0.5009586215265137,0.49617014341590615,0.002185688429829531,0.18699186991869918,0.8149253731343283,0.7711864406779662,5,0.01767363018403791,0.27396808375485965
binary,15.0,thermal_only,svm_rbf,group_cv,458,65,0.6222707423580786,0.5745783278728309,0.5633974253177092,0.5745783278728309,0.5627335088271166,0.13752198328467244,0.4715447154471545,0.6776119402985075,0.7240829346092504,5,0.12444323281654183,0.34310992815180097
