target,window_size_s,feature_set,model,split_type,n_windows,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,folds,fold_mcc_mean,fold_mcc_std
multiclass,10.0,motion_pulse_thermal,dummy_most_frequent,group_cv,722,209,0.27008310249307477,0.16666666666666666,0.04501385041551246,0.16666666666666666,0.07088331515812432,0.0,4,0.0,0.0
multiclass,10.0,motion_pulse_thermal,extra_trees,group_cv,722,209,0.7437673130193906,0.6894837895204113,0.7265531793813321,0.6894837895204113,0.6898247563767387,0.6894360875402262,4,0.7011876610281964,0.14463467480023381
multiclass,10.0,motion_pulse_thermal,hist_gradient_boosting,group_cv,722,209,0.8019390581717452,0.7683082554003304,0.7710500265893557,0.7683082554003304,0.7646760660038626,0.7587632441577538,4,0.7603976851367874,0.09706023531544336
multiclass,10.0,motion_pulse_thermal,knn,group_cv,722,209,0.5373961218836565,0.5085138943600181,0.5264481850759487,0.5085138943600181,0.5116769587770927,0.42838257416460573,4,0.44164279766078235,0.06245199275159578
multiclass,10.0,motion_pulse_thermal,logistic_regression,group_cv,722,209,0.7451523545706371,0.7187618237676019,0.7501745895010968,0.7187618237676019,0.7212266692397237,0.6899705741704829,4,0.6928891288491611,0.14227716516087258
multiclass,10.0,motion_pulse_thermal,random_forest,group_cv,722,209,0.8157894736842105,0.7798869267692002,0.7799612239351368,0.7798869267692002,0.7711893439361868,0.7770294307510618,4,0.7792593200290838,0.10684457885718146
multiclass,10.0,motion_pulse_thermal,svm_rbf,group_cv,722,209,0.6939058171745153,0.6714649733969709,0.6975768230253245,0.6714649733969709,0.6760898405828336,0.6246256565290456,4,0.6280875127948976,0.1599473269664896
multiclass,10.0,pulse_only,dummy_most_frequent,group_cv,722,38,0.27008310249307477,0.16666666666666666,0.04501385041551246,0.16666666666666666,0.07088331515812432,0.0,4,0.0,0.0
multiclass,10.0,pulse_only,extra_trees,group_cv,722,38,0.5277008310249307,0.5208047802775907,0.5105453373314272,0.5208047802775907,0.5133483963511277,0.4208303049544814,4,0.4186382654811972,0.0827652945454096
multiclass,10.0,pulse_only,hist_gradient_boosting,group_cv,722,38,0.5013850415512465,0.49558249121393055,0.48112435720160573,0.49558249121393055,0.4855171563924752,0.3898176859860406,4,0.39337800198128325,0.09701764418010085
multiclass,10.0,pulse_only,knn,group_cv,722,38,0.4709141274238227,0.45587483629362563,0.4582690541938456,0.45587483629362563,0.44963987015704204,0.34974134884843866,4,0.36200263285132467,0.025942291183452953
multiclass,10.0,pulse_only,logistic_regression,group_cv,722,38,0.4487534626038781,0.455800717701953,0.4488048300563845,0.455800717701953,0.44687932466350283,0.32600750131896644,4,0.34267098269218943,0.029686997720957987
multiclass,10.0,pulse_only,random_forest,group_cv,722,38,0.5110803324099723,0.505533257611742,0.4886631139279079,0.505533257611742,0.49495707659502797,0.39895938641975304,4,0.40293179563692805,0.0771726614235467
multiclass,10.0,pulse_only,svm_rbf,group_cv,722,38,0.44321329639889195,0.4469303549138834,0.438875352023399,0.4469303549138834,0.43198404432541765,0.32400509411763867,4,0.3352756284266161,0.053560680826861204
multiclass,10.0,thermal_only,dummy_most_frequent,group_cv,722,65,0.27008310249307477,0.16666666666666666,0.04501385041551246,0.16666666666666666,0.07088331515812432,0.0,4,0.0,0.0
multiclass,10.0,thermal_only,extra_trees,group_cv,722,65,0.18421052631578946,0.16103433026804173,0.15340685164696735,0.16103433026804173,0.15626677277473208,-0.012101848711155383,4,0.03402167962951006,0.09118423816574045
multiclass,10.0,thermal_only,hist_gradient_boosting,group_cv,722,65,0.16897506925207756,0.13516993169575406,0.1293399686115581,0.13516993169575406,0.13176183368922129,-0.032037122846605884,4,0.003779196861085238,0.10043933166577002
multiclass,10.0,thermal_only,knn,group_cv,722,65,0.1523545706371191,0.1193172005921237,0.11583310778464567,0.1193172005921237,0.1168507760842568,-0.05403144324324699,4,-0.005758413807470632,0.038833550737943
multiclass,10.0,thermal_only,logistic_regression,group_cv,722,65,0.28254847645429365,0.27268899751117887,0.22359300433191664,0.27268899751117887,0.23852618303169096,0.1281000824524178,4,0.14402206169586426,0.04368533664124888
multiclass,10.0,thermal_only,random_forest,group_cv,722,65,0.1814404432132964,0.15420293684588351,0.14930837268373778,0.15420293684588351,0.1506325049419698,-0.016781547809922644,4,0.0320315141494043,0.10936532671069729
multiclass,10.0,thermal_only,svm_rbf,group_cv,722,65,0.10941828254847645,0.10326491689306838,0.0986063088059735,0.10326491689306838,0.09517198807738374,-0.08574559636591912,4,-0.0808923323743568,0.033151678502788086
multiclass,15.0,motion_only,dummy_most_frequent,group_cv,458,106,0.1812227074235808,0.11887880506712044,0.051006797486212646,0.11887880506712044,0.06970751191856721,-0.12250104967165146,4,0.0,0.0
